nama_produk,badges,count_rating,disc_percent,harga,rating,rating_avg,nama_toko,lokasi,official,powerbadge,terjual
GROSIR Paket Kue Kering Idul Fitri Bellarosa SIRUP Lebaran Parcel Enak,Power Merchant Pro Badge,11,0,44990,5,5.0,Aboutyou Shop Official,Jakarta,False,True,50
Ramadhan Healthy Hampers Bolen Pisang Coklat | NUDE Gluten Free-Set A,Power Merchant Pro Badge,22,0,40000,5,4.8,Nude Spread Official,Surabaya,False,True,60
Parsel Ramadan Sajadah Pouch Souvenir Pernikahan Tahlilan Kado Ultah,Power Merchant Pro Badge,2,0,24500,5,5.0,Nabawi Bandung,Bodetabek,False,True,9
KUE KERING LEBARAN 2021 BELLAROSA PAKET PLATINUM HAMPERS IDUL FITRI,Power Merchant Pro Badge,42,0,59888,5,4.9,GH Organic House,Medan,False,True,100
hampers lebaran premium/parsel idul Fitri READY/ kado wedding Muslim,Power Merchant Pro Badge,2,0,340000,5,5.0,Vaganza Kids,Jakarta,False,True,2
PAKET PARCEL LEBARAN 129.900 / PARCEL LEBARAN - GB21001,Power Merchant Pro Badge,0,0,137600,0,,tokobabymurahonline,Surabaya,False,True,0
Le Senteurs CAHAYA / Hampers Lebaran / parcel ramadan / idul fitri eid,Power Merchant Pro Badge,2,5,308750,5,5.0,Le Senteurs,Jakarta,False,True,11
Hampers Sajadah Hand Sanitizer Termos Lebaran / Kado Cowo Laki-Laki,No Badges,2,0,39999,5,5.0,Toko Grosir Lancar Jaya,Bodetabek,False,False,9
PARSEL RAMADAN WHITE LEBARAN IDUL FITRI HAMPERS LILIN CANDLE DIFFUSER,Power Merchant Pro Badge,0,5,90000,0,,Little Wick n Co,Jakarta,False,True,4
Berkah - Hampers Lebaran / Parsel Ramadhan / Vegan & Gluten Free,Official Store,24,5,273600,5,5.0,Casa Grata,Jakarta,True,True,70
EDISI RAMADAN!!! TUMBLER RAMADAN/ HAMPERS RAMADAN / TUMBLER CUSTOM,Power Merchant Pro Badge,0,0,99999,0,,Desainku 99,Surabaya,False,True,0
[Dijual] Parsel Ramadan | Dekayu Hampers Noa | Kado Ulang Tahun |,Power Merchant Pro Badge,0,0,232000,0,,nana125,Surabaya,False,True,0
Hampers Mukena Idul Fitri Parcel Lebaran Mukena Rayon Premium |Parcel,Power Badge,0,0,275000,0,,Cann_store,Surabaya,False,True,0
parcel lebaran paket D,No Badges,26,0,250000,4,4.4,Ramitha Sejahtera,Surabaya,False,False,40
Tas Hampers Lebaran Hari Raya Idul Fitri Tempat Sembako Thr Model,Power Badge,0,0,8000,0,,Santiary,Jakarta,False,True,0
parcel / bingkisan / hampers / kue idul fitri C1,Power Merchant Pro Badge,0,0,275000,0,,tokokalsumajaya,Surabaya,False,True,0
1KG HAMPERS BOX GIFT KADO LEBARAN ULANG TAHUN SCARLETT WHITENING ORIGI,Power Merchant Pro Badge,0,0,396000,0,,meiimei805,Jakarta,False,True,0
Hadiah Cod Cash On Delivery / Thr Lebaran / Hampers Gift Box / Kado,Power Badge,0,0,3530000,0,,lionstore-11,Surabaya,False,True,0
KOTAK HAMPERS LEBARAN BOX IDULFITRI 25x12.5x5cm,Power Merchant Pro Badge,0,3,5335,0,,Me and Moms,Medan,False,True,0
Paket Hampers RAMADHAN - (Paket Lebaran Ied Mubarak),Power Merchant Pro Badge,3,0,200000,5,5.0,Bekuindonesia,Surabaya,False,True,12
"Kotak Lebaran K8830 Eid Mubarak Hampers, Goodie Bag Idul Fitri",No Badges,1,0,22000,5,5.0,keanukeenan,Bodetabek,False,False,5
hampers/ parcel lebaran,Power Merchant Pro Badge,0,0,40000,0,,greassa shop,Surabaya,False,True,0
KAREEM - Hampers Lebaran Parsel Kue Kering Idul Fitri 2023,Power Merchant Pro Badge,0,0,199000,0,,JR Acrylic,Surabaya,False,True,0
Hampers lebaran/Box lapis surabaya/Box lapis legit/ Hampers Imlek,Power Merchant Pro Badge,38,0,45000,5,4.9,zulaikha supercake,Bodetabek,False,True,250
Hampers Natal Christmas Lebaran Wedding Ultah Hampers Reed diffuser,Power Badge,0,0,38000,0,,mixiaproject,Kab. Bantul,False,True,1
Hampers Lebaran Hari Raya Idul Fitri Mukena Dan Sajadah Traveling,Power Badge,0,0,212000,0,,Cann_store,Surabaya,False,True,0
Mubarak Idul Fitri Hampers by Casa Grata Hampers Lebaran / Parcel,Official Store,6,5,387600,5,5.0,Casa Grata,Jakarta,True,True,12
Hampers Lebaran Premium,Power Merchant Pro Badge,0,0,299000,0,,Mokhabika Coffee,Surabaya,False,True,0
KUE KERING LEBARAN 2021 PAKET SIRUP BELLAROSA HAMPERS KADO IDULFITRI,Power Merchant Pro Badge,52,0,64888,5,4.8,GH Organic House,Medan,False,True,250
TAS PARCEL / TAS LEBARAN MODEL RESLETING FREE DESAIN,Power Merchant Pro Badge,1,0,7600,5,5.0,azkybags,Kab. Kudus,False,True,70
Hampers Couple Mukena Sarung | Lebaran Premium,Power Merchant Pro Badge,0,0,100000,0,,Dira Book Shop,Surabaya,False,True,0
Hampers Souvenir Hajatan / Pengajian / Tahlilan / Siraman / Lebaran,Power Badge,1,0,30303,5,5.0,FGHboxid2,Jakarta,False,True,5
Hampers Artisan Tea - Hampers Eco Friendly - Hampers Lebaran - SELARAS,Power Merchant Pro Badge,7,0,70000,5,4.9,ranumtea,Semarang,False,True,30
DISKON LOVE SEMPRONG/PAKET HAMPERS LEBARAN,Power Merchant Pro Badge,0,0,528000,0,,ipurnama22,Bodetabek,False,True,0
hampers paket Lebaran Idul Fitri Ramadan hijab sajadah sarung tasbih,Power Badge,0,0,137000,0,,YESAYSHOPING,Bodetabek,False,True,0
Hampers Lebaran Parcel Ramadhan Hadiah Ulang Tahun Wedding Wisuda,Power Badge,0,0,196000,0,,Cann_store,Surabaya,False,True,0
Almeera Hampers Idul Fitri Paket Hemat 4in1,Power Merchant Pro Badge,3,0,91000,5,5.0,Pangchoco | Toko Coklat,Surabaya,False,True,4
Kue kering Ina cookies hampers Lebaran Ramadhan parcel,Power Merchant Pro Badge,10,0,125000,5,4.7,Wanhaishp,Jakarta,False,True,40
S25 Kado Coklat Idul Fitri 1443H Isian Parcel Hampers Hadiah Puasa,Power Badge,0,0,171000,0,,Cann_store,Surabaya,False,True,0
Lily - Lebaran Hampers - Corica Pastries,Power Merchant Pro Badge,0,0,1024000,0,,Corica Pastries Surabaya,Surabaya,False,True,0
Hampers lebaran with sajadah travel,No Badges,5,0,85000,5,5.0,Beautyhamperss,Bodetabek,False,False,7
Parcel Hari Raya Idul Fitri Lebaran 2022,Power Merchant Pro Badge,1,0,380000,5,5.0,SE STOREE,Jakarta,False,True,1
Kado Pernikahan / Hampers Ulang Tahun / Wedding Gift / Parcel Lebaran,Power Badge,0,0,219000,0,,Cann_store,Surabaya,False,True,0
hampers idul fitri premium parcel lebaran hampers ramadhan hamper eid,Power Merchant Pro Badge,7,0,325000,5,4.9,BAKELIFE,Jakarta,False,True,60
kotak hampers lebaran kue kering,Power Badge,0,0,6000,0,,nandoshopingg,Surabaya,False,True,0
Hampers Lebaran Unik An - Nass isi Mug Kopi Custom dan Kue Kering,Power Merchant Pro Badge,0,32,95200,0,,DIGIBOOK PROMOTION SEMARANG,Semarang,False,True,6
Hampers Lebaran Isi Mukena Alat Solat Parcel Idul Fitri Packing Besek,Power Badge,0,0,241000,0,,Cann_store,Surabaya,False,True,0
[Urban Garden] Hampers lebaran gardening Kit Microgreen Single,Power Badge,5,0,25000,5,4.6,urban_garden.id,Jakarta,False,True,20
ALYA - Sylvi & Co.hampers lebaran / parsel ramadan / parsel idul fitri,Power Badge,0,0,132500,0,,Sylvi And Co. Artisan Gifting,lainnya,False,True,0
